,satname,Entrance_state,skip image
1997-08-21-23-16-13,L5,closed,FALSE
1995-04-17-22-59-32,L5,closed,FALSE
1997-10-31-23-24-23,L5,closed,FALSE
1989-08-06-23-17-36,L5,closed,FALSE
1989-05-27-23-12-52,L5,open,FALSE
1991-10-31-23-14-48,L5,closed,FALSE
1993-08-17-23-13-05,L5,closed,FALSE
1988-03-21-23-14-29,L5,closed,FALSE
1994-11-08-23-05-29,L5,closed,FALSE
1987-05-22-23-08-32,L5,closed,FALSE
1995-12-13-22-51-38,L5,closed,FALSE
1992-10-10-23-06-02,L5,closed,FALSE
1989-10-09-23-16-07,L5,closed,FALSE
1993-10-04-23-12-58,L5,closed,FALSE
1992-03-23-23-14-49,L5,open,FALSE
1996-02-08-22-49-31,L5,closed,FALSE
1989-07-30-23-11-35,L5,unclear,FALSE
1993-08-10-23-06-54,L5,closed,FALSE
2004-11-28-23-29-52,L5,closed,FALSE
1991-07-27-23-14-10,L5,open,FALSE
2004-01-20-23-29-30,L5,closed,FALSE
2004-11-19-23-35-48,L5,closed,FALSE
1992-05-26-23-14-17,L5,closed,FALSE
2011-03-12-23-40-36,L5,closed,FALSE
1988-03-28-23-20-43,L5,closed,FALSE
1990-09-19-23-04-17,L5,closed,FALSE
1994-04-07-23-04-43,L5,closed,FALSE
2006-06-27-23-37-17,L5,closed,FALSE
2005-04-05-23-31-36,L5,closed,FALSE
1992-02-20-23-14-50,L5,poorquality,TRUE
1992-06-04-23-08-01,L5,closed,FALSE
2003-08-29-23-27-55,L5,closed,FALSE
2007-06-30-23-38-16,L5,closed,FALSE
2009-09-23-23-34-22,L5,closed,FALSE
1998-10-27-23-23-23,L5,closed,FALSE
1992-09-24-23-06-25,L5,poorquality,TRUE
1991-07-20-23-07-55,L5,open,FALSE
1999-09-28-23-21-00,L5,closed,FALSE
1990-09-10-23-10-32,L5,closed,FALSE
2009-01-10-23-29-27,L5,closed,FALSE
2003-09-07-23-21-53,L5,closed,FALSE
2005-05-07-23-31-46,L5,closed,FALSE
2006-05-01-23-42-38,L5,closed,FALSE
2005-01-31-23-30-50,L5,closed,FALSE
1991-08-21-23-08-05,L5,open,FALSE
2005-03-11-23-37-37,L5,closed,FALSE
1988-05-08-23-14-50,L5,closed,FALSE
1992-08-14-23-13-16,L5,closed,FALSE
1988-04-22-23-14-40,L5,closed,FALSE
1994-01-08-23-12-11,L5,closed,FALSE
1993-09-27-23-06-49,L5,closed,FALSE
2007-09-09-23-43-50,L5,poorquality,TRUE
1997-12-11-23-19-12,L5,closed,FALSE
1995-07-15-22-49-18,L5,poorquality,TRUE
1992-06-11-23-14-07,L5,closed,FALSE
2006-07-04-23-43-34,L5,closed,FALSE
1998-07-07-23-22-41,L5,closed,FALSE
2003-12-28-23-23-14,L5,closed,FALSE
2009-11-10-23-34-51,L5,closed,FALSE
1989-04-25-23-13-21,L5,closed,FALSE
1995-12-06-22-44-56,L5,closed,FALSE
1995-03-09-22-54-57,L5,closed,FALSE
2005-08-11-23-32-31,L5,closed,FALSE
1994-09-30-23-00-37,L5,closed,FALSE
1989-01-10-23-20-55,L5,closed,FALSE
1998-07-30-23-29-02,L5,closed,FALSE
1987-09-02-23-17-14,L5,closed,FALSE
2006-08-21-23-44-12,L5,closed,FALSE
2007-05-04-23-45-20,L5,poorquality,TRUE
1990-04-12-23-04-42,L5,closed,FALSE
1990-03-02-23-11-39,L5,closed,FALSE
1998-01-19-23-26-16,L5,closed,FALSE
2004-06-21-23-26-09,L5,closed,FALSE
2005-07-26-23-32-23,L5,closed,FALSE
2007-09-02-23-37-42,L5,closed,FALSE
1996-08-02-22-59-53,L5,closed,FALSE
2009-03-06-23-37-03,L5,closed,FALSE
1988-01-24-23-19-56,L5,closed,FALSE
1992-09-15-23-12-47,L5,closed,FALSE
1996-12-08-23-06-26,L5,poorquality,TRUE
1989-10-18-23-09-27,L5,closed,FALSE
1988-02-25-23-20-26,L5,closed,FALSE
1988-08-28-23-15-18,L5,closed,FALSE
1999-01-15-23-23-29,L5,poorquality,TRUE
1992-09-08-23-06-43,L5,closed,FALSE
2004-10-11-23-28-56,L5,closed,FALSE
2004-09-16-23-34-34,L5,closed,FALSE
1989-09-23-23-16-26,L5,closed,FALSE
2009-09-14-23-40-26,L5,closed,FALSE
1997-07-20-23-15-10,L5,closed,FALSE
1988-04-13-23-20-47,L5,closed,FALSE
2004-08-15-23-33-42,L5,closed,FALSE
1991-01-25-23-05-02,L5,closed,FALSE
2009-01-17-23-35-49,L5,closed,FALSE
2010-10-28-23-34-20,L5,closed,FALSE
1998-06-28-23-28-44,L5,closed,FALSE
2009-12-12-23-35-06,L5,closed,FALSE
1998-10-11-23-23-20,L5,closed,FALSE
1998-08-24-23-23-06,L5,open,FALSE
1988-07-27-23-15-14,L5,closed,FALSE
1994-10-23-23-06-03,L5,closed,FALSE
2009-09-07-23-34-10,L5,closed,FALSE
1998-06-12-23-28-33,L5,poorquality,TRUE
1994-08-13-23-01-52,L5,closed,FALSE
2006-04-15-23-42-23,L5,closed,FALSE
2005-10-05-23-38-46,L5,closed,FALSE
1991-09-29-23-14-39,L5,closed,FALSE
1991-04-15-23-06-27,L5,closed,FALSE
1998-06-05-23-22-17,L5,closed,FALSE
1993-05-13-23-13-10,L5,closed,FALSE
1994-03-22-23-05-00,L5,closed,FALSE
1998-07-14-23-28-56,L5,closed,FALSE
1992-07-06-23-07-37,L5,closed,FALSE
1992-08-30-23-13-01,L5,closed,FALSE
1988-06-09-23-15-03,L5,closed,FALSE
1994-07-03-23-09-08,L5,closed,FALSE
1991-10-08-23-08-34,L5,closed,FALSE
1998-02-04-23-26-37,L5,closed,FALSE
1996-07-01-22-58-12,L5,closed,FALSE
1999-08-18-23-28-14,L5,closed,FALSE
2004-02-05-23-29-34,L5,closed,FALSE
1987-10-29-23-12-13,L5,closed,FALSE
1989-07-14-23-11-53,L5,closed,FALSE
1998-08-31-23-29-21,L5,unclear,FALSE
2007-02-22-23-39-29,L5,closed,FALSE
1994-10-16-23-00-07,L5,closed,FALSE
2004-06-05-23-25-42,L5,poorquality,TRUE
1999-06-24-23-22-22,L5,poorquality,TRUE
2007-02-13-23-45-40,L5,closed,FALSE
1993-11-21-23-12-36,L5,closed,FALSE
1989-12-21-23-07-46,L5,closed,FALSE
2005-08-27-23-32-37,L5,closed,FALSE
2007-04-11-23-39-20,L5,closed,FALSE
2006-05-26-23-36-47,L5,closed,FALSE
1989-10-02-23-10-11,L5,closed,FALSE
2006-06-11-23-37-02,L5,closed,FALSE
1994-05-16-23-10-11,L5,closed,FALSE
2008-11-23-23-28-05,L5,poorquality,TRUE
1996-05-21-23-02-10,L5,poorquality,TRUE
1993-11-05-23-12-44,L5,closed,FALSE
1988-03-05-23-14-21,L5,closed,FALSE
2003-12-12-23-23-03,L5,closed,FALSE
2011-01-07-23-40-37,L5,closed,FALSE
1992-05-19-23-08-09,L5,closed,FALSE
1997-05-24-23-19-24,L5,closed,FALSE
1997-02-17-23-15-51,L5,closed,FALSE
2005-07-10-23-32-12,L5,poorquality,TRUE
2005-10-21-23-38-44,L5,closed,FALSE
1997-10-24-23-18-01,L5,closed,FALSE
1993-10-29-23-06-37,L5,closed,FALSE
1994-09-21-23-07-04,L5,closed,FALSE
1996-09-03-23-01-37,L5,closed,FALSE
1988-07-11-23-15-12,L5,closed,FALSE
1991-11-09-23-08-43,L5,closed,FALSE
2008-02-25-23-34-54,L5,closed,FALSE
1987-09-27-23-11-39,L5,closed,FALSE
2004-10-02-23-34-56,L5,closed,FALSE
2004-10-18-23-35-16,L5,closed,FALSE
2009-08-29-23-40-13,L5,closed,FALSE
2003-12-03-23-29-12,L5,closed,FALSE
2010-09-10-23-34-44,L5,closed,FALSE
1989-05-02-23-19-28,L5,poorquality,TRUE
1992-04-08-23-14-40,L5,unclear,FALSE
2005-04-21-23-31-39,L5,closed,FALSE
1997-07-11-23-21-03,L5,closed,FALSE
2008-09-27-23-35-21,L5,closed,FALSE
1993-02-06-23-12-36,L5,open,FALSE
2010-04-10-23-41-36,L5,unclear,FALSE
1997-11-09-23-18-25,L5,poorquality,TRUE
1993-01-14-23-06-09,L5,open,FALSE
2009-02-27-23-30-42,L5,closed,FALSE
2006-08-05-23-44-00,L5,closed,FALSE
1989-09-16-23-10-20,L5,closed,FALSE
2011-03-21-23-34-21,L5,closed,FALSE
2007-05-13-23-39-03,L5,closed,FALSE
1996-09-10-23-08-11,L5,closed,FALSE
1991-03-21-23-12-14,L5,closed,FALSE
2004-03-01-23-23-31,L5,closed,FALSE
2006-04-08-23-36-05,L5,closed,FALSE
1997-12-02-23-25-10,L5,closed,FALSE
2010-12-31-23-34-25,L5,closed,FALSE
1995-06-20-22-56-37,L5,open,FALSE
1995-01-11-23-03-24,L5,closed,FALSE
1999-07-01-23-28-29,L5,poorquality,TRUE
2007-03-26-23-39-24,L5,closed,FALSE
1994-11-01-22-59-33,L5,poorquality,TRUE
2005-01-06-23-36-42,L5,closed,FALSE
1995-02-21-22-55-35,L5,closed,FALSE
2003-07-12-23-27-04,L5,closed,FALSE
1999-05-30-23-28-48,L5,poorquality,TRUE
1996-03-11-22-51-39,L5,closed,FALSE
1996-10-12-23-09-53,L5,closed,FALSE
1992-07-22-23-07-24,L5,closed,FALSE
1990-03-11-23-05-10,L5,closed,FALSE
2008-10-06-23-28-52,L5,closed,FALSE
1993-02-15-23-06-28,L5,closed,FALSE
2004-04-09-23-30-13,L5,closed,FALSE
2004-04-25-23-30-40,L5,closed,FALSE
1992-10-17-23-12-10,L5,poorquality,TRUE
1993-10-20-23-12-50,L5,closed,FALSE
2004-12-30-23-30-26,L5,closed,FALSE
1999-02-16-23-23-46,L5,closed,FALSE
2003-09-14-23-28-11,L5,closed,FALSE
2006-10-08-23-44-46,L5,closed,FALSE
2008-12-25-23-29-03,L5,closed,FALSE
1994-04-23-23-04-26,L5,closed,FALSE
2007-06-21-23-44-36,L5,closed,FALSE
1999-06-15-23-28-39,L5,poorquality,TRUE
2011-09-13-23-33-02,L5,closed,FALSE
2004-08-24-23-27-47,L5,closed,FALSE
1991-12-18-23-15-01,L5,closed,FALSE
1996-03-27-22-52-40,L5,closed,FALSE
1997-06-09-23-19-57,L5,closed,FALSE
1995-06-04-22-57-20,L5,closed,FALSE
2006-02-10-23-41-08,L5,closed,FALSE
1990-10-21-23-04-03,L5,closed,FALSE
2006-10-01-23-38-31,L5,closed,FALSE
1987-09-18-23-17-38,L5,closed,FALSE
1989-06-12-23-12-29,L5,open,FALSE
2009-04-07-23-37-45,L5,closed,FALSE
1997-03-21-23-17-07,L5,closed,FALSE
2006-05-10-23-36-35,L5,closed,FALSE
1996-01-14-22-53-57,L5,closed,FALSE
1990-09-26-23-10-25,L5,closed,FALSE
2010-11-20-23-40-30,L5,closed,FALSE
1992-06-20-23-07-48,L5,closed,FALSE
1997-04-15-23-11-51,L5,closed,FALSE
1995-08-07-22-54-28,L5,closed,FALSE
1995-11-27-22-50-32,L5,closed,FALSE
2006-01-25-23-40-46,L5,closed,FALSE
1994-08-04-23-08-15,L5,closed,FALSE
2009-04-16-23-31-44,L5,closed,FALSE
1995-02-12-23-02-07,L5,closed,FALSE
1990-08-09-23-10-40,L5,unclear,FALSE
1997-08-05-23-15-42,L5,closed,FALSE
1994-12-10-23-04-29,L5,closed,FALSE
1991-06-25-23-13-45,L5,open,FALSE
1999-12-08-23-25-48,L5,open,FALSE
1993-08-01-23-13-04,L5,closed,FALSE
1987-11-14-23-12-35,L5,closed,FALSE
1998-04-18-23-21-33,L5,closed,FALSE
2004-08-31-23-34-08,L5,closed,FALSE
2004-08-08-23-27-19,L5,closed,FALSE
1998-09-16-23-29-28,L5,closed,FALSE
2004-06-12-23-32-04,L5,closed,FALSE
2005-05-30-23-38-08,L5,closed,FALSE
1993-06-14-23-13-13,L5,closed,FALSE
1988-09-04-23-21-29,L5,closed,FALSE
1996-07-08-23-04-44,L5,closed,FALSE
1988-10-06-23-21-20,L5,closed,FALSE
1997-03-14-23-10-40,L5,closed,FALSE
2004-06-28-23-32-33,L5,closed,FALSE
2007-01-21-23-39-26,L5,closed,FALSE
1996-03-18-22-58-17,L5,closed,FALSE
2007-08-17-23-37-52,L5,closed,FALSE
2004-07-14-23-33-00,L5,closed,FALSE
2005-09-12-23-32-39,L5,closed,FALSE
1998-11-03-23-29-35,L5,poorquality,TRUE
2005-09-28-23-32-37,L5,closed,FALSE
2003-07-05-23-20-46,L5,closed,FALSE
1989-02-20-23-14-27,L5,closed,FALSE
1988-08-12-23-15-13,L5,unclear,FALSE
2007-01-28-23-45-38,L5,closed,FALSE
1993-07-09-23-06-54,L5,closed,FALSE
2009-11-26-23-34-57,L5,closed,FALSE
2007-05-20-23-45-09,L5,closed,FALSE
2005-07-17-23-38-28,L5,closed,FALSE
2010-12-22-23-40-34,L5,closed,FALSE
1990-10-28-23-10-10,L5,closed,FALSE
1998-10-02-23-29-31,L5,closed,FALSE
2006-11-09-23-45-04,L5,closed,FALSE
1998-03-08-23-27-11,L5,poorquality,TRUE
2003-08-13-23-27-38,L5,closed,FALSE
1998-01-12-23-19-57,L5,closed,FALSE
2007-05-29-23-38-50,L5,closed,FALSE
2007-09-18-23-37-35,L5,closed,FALSE
1996-03-02-22-57-15,L5,poorquality,TRUE
1993-02-22-23-12-39,L5,closed,FALSE
1993-09-02-23-13-04,L5,unclear,FALSE
2006-03-07-23-35-28,L5,closed,FALSE
2006-07-29-23-37-44,L5,closed,FALSE
1994-09-05-23-07-30,L5,closed,FALSE
2006-12-04-23-39-06,L5,closed,FALSE
2007-03-01-23-45-39,L5,closed,FALSE
1988-06-25-23-15-08,L5,open,FALSE
1991-12-02-23-15-08,L5,closed,FALSE
2004-12-21-23-36-29,L5,closed,FALSE
2011-04-22-23-34-11,L5,closed,FALSE
1999-09-12-23-21-18,L5,closed,FALSE
2008-02-09-23-35-11,L5,closed,FALSE
1988-11-23-23-21-17,L5,closed,FALSE
2011-09-20-23-39-06,L5,closed,FALSE
2007-01-12-23-45-34,L5,closed,FALSE
1994-07-28-23-02-16,L5,closed,FALSE
1994-01-24-23-11-58,L5,closed,FALSE
1988-03-12-23-20-35,L5,closed,FALSE
1998-07-23-23-22-50,L5,closed,FALSE
2004-05-27-23-31-36,L5,closed,FALSE
2010-10-19-23-40-36,L5,closed,FALSE
2011-03-28-23-40-31,L5,closed,FALSE
1987-11-21-23-18-53,L5,closed,FALSE
2004-07-30-23-33-21,L5,closed,FALSE
1997-04-06-23-17-43,L5,closed,FALSE
1990-09-03-23-04-21,L5,unclear,FALSE
1992-01-12-23-08-46,L5,closed,FALSE
1998-02-13-23-20-37,L5,closed,FALSE
2004-09-09-23-28-13,L5,closed,FALSE
1995-07-31-22-48-36,L5,poorquality,TRUE
1990-07-24-23-10-45,L5,open,FALSE
2004-09-25-23-28-36,L5,closed,FALSE
2005-03-27-23-37-44,L5,closed,FALSE
1992-04-24-23-14-32,L5,closed,FALSE
1996-07-17-22-59-02,L5,closed,FALSE
1994-06-10-23-03-32,L5,closed,FALSE
1989-09-07-23-16-52,L5,closed,FALSE
2004-12-14-23-30-11,L5,closed,FALSE
1992-10-01-23-12-25,L5,closed,FALSE
1999-08-02-23-28-24,L5,closed,FALSE
2005-09-19-23-38-49,L5,poorquality,TRUE
1993-06-07-23-07-04,L5,closed,FALSE
2000-08-28-23-41-37,L7,closed,FALSE
2002-11-06-23-38-34,L7,poorquality,TRUE
2002-07-10-23-32-54,L7,closed,FALSE
2002-04-05-23-33-18,L7,closed,FALSE
2000-09-13-23-41-19,L7,closed,FALSE
2000-04-22-23-43-00,L7,closed,FALSE
2002-09-19-23-38-28,L7,closed,FALSE
2001-03-01-23-34-50,L7,closed,FALSE
2000-07-20-23-35-52,L7,closed,FALSE
2000-04-06-23-43-07,L7,closed,FALSE
2003-03-23-23-33-09,L7,closed,FALSE
2001-05-27-23-40-29,L7,closed,FALSE
2002-12-01-23-32-46,L7,closed,FALSE
2000-12-11-23-34-53,L7,closed,FALSE
2002-08-11-23-32-41,L7,closed,FALSE
2000-12-27-23-34-57,L7,closed,FALSE
2001-07-30-23-39-51,L7,closed,FALSE
2000-06-02-23-36-24,L7,closed,FALSE
2001-09-09-23-33-05,L7,closed,FALSE
2003-05-10-23-33-15,L7,closed,FALSE
2001-04-25-23-40-45,L7,closed,FALSE
2000-04-15-23-36-48,L7,poorquality,TRUE
2002-05-07-23-33-20,L7,open,FALSE
2001-05-11-23-40-38,L7,closed,FALSE
2002-03-20-23-33-17,L7,poorquality,TRUE
2001-08-08-23-33-29,L7,closed,FALSE
2000-11-09-23-34-50,L7,closed,FALSE
2000-07-11-23-42-10,L7,closed,FALSE
2000-09-29-23-41-08,L7,closed,FALSE
2000-10-15-23-40-49,L7,closed,FALSE
2001-06-28-23-40-02,L7,poorquality,TRUE
1999-07-09-23-43-29,L7,closed,FALSE
1999-08-10-23-43-35,L7,poorquality,TRUE
2001-10-11-23-32-39,L7,poorquality,TRUE
2002-04-12-23-39-30,L7,closed,FALSE
2002-08-27-23-32-29,L7,closed,FALSE
2000-08-05-23-35-37,L7,closed,FALSE
1999-08-03-23-37-25,L7,closed,FALSE
2001-06-05-23-34-09,L7,closed,FALSE
2001-06-21-23-33-58,L7,closed,FALSE
2000-02-27-23-37-09,L7,closed,FALSE
2000-11-25-23-34-52,L7,closed,FALSE
2003-01-18-23-32-59,L7,poorquality,TRUE
2001-01-12-23-34-59,L7,closed,FALSE
2003-02-26-23-39-21,L7,closed,FALSE
2000-06-25-23-42-24,L7,closed,FALSE
2002-10-21-23-38-29,L7,poorquality,TRUE
2000-05-17-23-36-36,L7,closed,FALSE
1999-07-25-23-43-32,L7,closed,FALSE
2001-03-24-23-40-52,L7,closed,FALSE
2003-04-15-23-39-27,L7,closed,FALSE
1999-07-18-23-37-18,L7,closed,FALSE
2001-10-27-23-32-49,L7,closed,FALSE
2002-09-28-23-32-15,L7,closed,FALSE
2000-12-02-23-41-02,L7,closed,FALSE
2003-05-01-23-39-27,L7,closed,FALSE
2002-08-18-23-38-50,L7,closed,FALSE
2000-02-02-23-43-28,L7,closed,FALSE
2001-03-17-23-34-45,L7,closed,FALSE
2000-12-18-23-41-06,L7,closed,FALSE
2002-07-01-23-39-07,L7,closed,FALSE
2000-05-08-23-42-50,L7,closed,FALSE
2002-05-30-23-39-18,L7,closed,FALSE
1999-11-30-23-43-28,L7,poorquality,TRUE
2001-01-03-23-41-05,L7,closed,FALSE
2002-09-12-23-32-24,L7,closed,FALSE
2002-01-06-23-39-25,L7,closed,FALSE
1999-09-04-23-37-27,L7,closed,FALSE
2001-11-03-23-39-03,L7,closed,FALSE
2001-12-21-23-39-22,L7,closed,FALSE
2001-04-18-23-34-37,L7,closed,FALSE
1999-08-19-23-37-21,L7,closed,FALSE
2001-07-14-23-40-02,L7,closed,FALSE
2000-01-17-23-43-28,L7,closed,FALSE
2014-08-11-23-50-44,L8,closed,FALSE
2017-04-06-23-44-02,L8,closed,FALSE
2019-04-19-23-50-07,L8,closed,FALSE
2015-12-29-23-44-38,L8,closed,FALSE
2020-05-07-23-50-05,L8,closed,FALSE
2019-12-15-23-50-59,L8,closed,FALSE
2016-11-04-23-51-02,L8,closed,FALSE
2016-08-09-23-44-32,L8,open,FALSE
2019-09-10-23-50-56,L8,closed,FALSE
2019-05-05-23-50-09,L8,poorquality,TRUE
2016-07-24-23-44-30,L8,open,FALSE
2016-12-22-23-50-56,L8,closed,FALSE
2018-07-21-23-49-54,L8,closed,FALSE
2017-09-20-23-50-51,L8,closed,FALSE
2014-03-13-23-45-02,L8,closed,FALSE
2019-07-01-23-44-25,L8,closed,FALSE
2018-11-19-23-44-27,L8,closed,FALSE
2018-01-19-23-44-31,L8,closed,FALSE
2015-10-01-23-50-42,L8,open,FALSE
2020-05-23-23-50-08,L8,poorquality,TRUE
2015-07-06-23-43-59,L8,poorquality,TRUE
2013-06-14-23-46-29,L8,poorquality,TRUE
2019-01-13-23-50-32,L8,closed,FALSE
2016-08-25-23-44-39,L8,open,FALSE
2016-04-26-23-50-14,L8,closed,FALSE
2013-09-02-23-46-33,L8,closed,FALSE
2014-10-07-23-44-42,L8,closed,FALSE
2017-09-29-23-44-44,L8,closed,FALSE
2015-06-20-23-43-49,L8,closed,FALSE
2015-06-27-23-50-03,L8,poorquality,TRUE
2020-06-01-23-44-01,L8,closed,FALSE
2016-07-08-23-44-25,L8,open,FALSE
2020-07-19-23-44-24,L8,closed,FALSE
2015-12-04-23-50-50,L8,closed,FALSE
2017-07-11-23-44-19,L8,closed,FALSE
2017-06-25-23-44-16,L8,closed,FALSE
2019-11-13-23-51-03,L8,closed,FALSE
2014-12-17-23-50-49,L8,closed,FALSE
2017-11-23-23-50-53,L8,closed,FALSE
2019-08-18-23-44-40,L8,closed,FALSE
2018-02-04-23-44-22,L8,closed,FALSE
2014-06-24-23-50-24,L8,closed,FALSE
2015-11-18-23-50-50,L8,closed,FALSE
2018-10-25-23-50-35,L8,closed,FALSE
2019-03-02-23-50-22,L8,closed,FALSE
2019-04-28-23-43-55,L8,closed,FALSE
2016-02-22-23-50-35,L8,closed,FALSE
2015-09-08-23-44-23,L8,open,FALSE
2015-01-02-23-50-43,L8,closed,FALSE
2015-07-13-23-50-14,L8,closed,FALSE
2017-04-22-23-43-53,L8,closed,FALSE
2020-07-03-23-44-19,L8,closed,FALSE
2013-09-25-23-52-34,L8,closed,FALSE
2016-09-10-23-44-44,L8,closed,FALSE
2018-05-02-23-49-50,L8,closed,FALSE
2019-09-19-23-44-49,L8,closed,FALSE
2014-02-16-23-51-31,L8,closed,FALSE
2015-12-13-23-44-38,L8,closed,FALSE
2013-10-11-23-52-34,L8,closed,FALSE
2017-08-19-23-50-46,L8,closed,FALSE
2016-05-28-23-50-20,L8,closed,FALSE
2019-05-30-23-44-14,L8,closed,FALSE
2013-08-01-23-46-31,L8,closed,FALSE
2016-02-06-23-50-42,L8,closed,FALSE
2016-01-30-23-44-34,L8,closed,FALSE
2014-07-10-23-50-33,L8,closed,FALSE
2014-01-31-23-51-45,L8,closed,FALSE
2017-01-16-23-44-40,L8,closed,FALSE
2017-07-18-23-50-33,L8,closed,FALSE
2018-10-18-23-44-22,L8,closed,FALSE
2015-06-11-23-49-57,L8,closed,FALSE
2014-01-08-23-45-48,L8,closed,FALSE
2014-05-23-23-50-11,L8,closed,FALSE
2017-04-13-23-50-09,L8,closed,FALSE
2014-04-14-23-44-29,L8,closed,FALSE
2016-05-21-23-44-07,L8,closed,FALSE
2019-07-17-23-44-28,L8,closed,FALSE
2017-08-28-23-44-37,L8,closed,FALSE
2015-07-29-23-50-18,L8,closed,FALSE
2019-10-28-23-51-05,L8,closed,FALSE
2013-08-17-23-46-32,L8,closed,FALSE
2017-05-08-23-43-52,L8,closed,FALSE
2014-01-15-23-51-50,L8,closed,FALSE
2019-06-06-23-50-28,L8,closed,FALSE
2018-08-31-23-44-04,L8,closed,FALSE
2019-05-14-23-44-05,L8,closed,FALSE
2019-10-12-23-51-05,L8,closed,FALSE
2017-04-29-23-49-59,L8,poorquality,TRUE
2015-05-10-23-49-45,L8,closed,FALSE
2015-05-03-23-43-41,L8,closed,FALSE
2018-09-16-23-44-08,L8,closed,FALSE
2020-03-13-23-44-23,L8,closed,FALSE
2014-08-04-23-44-31,L8,closed,FALSE
2017-11-07-23-50-58,L8,closed,FALSE
2014-03-20-23-51-06,L8,closed,FALSE
2017-05-24-23-44-03,L8,closed,FALSE
2014-09-21-23-44-37,L8,closed,FALSE
2014-10-30-23-50-51,L8,closed,FALSE
2016-03-18-23-44-18,L8,closed,FALSE
2017-03-21-23-44-09,L8,closed,FALSE
2016-04-10-23-50-18,L8,closed,FALSE
2020-05-16-23-43-56,L8,closed,FALSE
2014-11-08-23-44-45,L8,closed,FALSE
2019-04-12-23-43-59,L8,closed,FALSE
2014-06-17-23-44-13,L8,closed,FALSE
2020-04-21-23-50-14,L8,closed,FALSE
2018-06-03-23-49-28,L8,closed,FALSE
2016-12-06-23-51-00,L8,closed,FALSE
2013-06-30-23-46-29,L8,closed,FALSE
2017-05-15-23-50-08,L8,closed,FALSE
2013-05-20-23-52-43,L8,closed,FALSE
2016-03-02-23-44-24,L8,closed,FALSE
2015-05-19-23-43-33,L8,closed,FALSE
2019-05-21-23-50-20,L8,closed,FALSE
2019-09-03-23-44-43,L8,closed,FALSE
2019-03-11-23-44-07,L8,closed,FALSE
2014-02-09-23-45-26,L8,closed,FALSE
2013-12-30-23-52-06,L8,closed,FALSE
2017-10-15-23-44-48,L8,closed,FALSE
2013-09-09-23-52-42,L8,closed,FALSE
2014-07-26-23-50-36,L8,closed,FALSE
2014-03-04-23-51-15,L8,closed,FALSE
2017-05-31-23-50-18,L8,closed,FALSE
2015-09-15-23-50-38,L8,open,FALSE
2019-07-24-23-50-41,L8,closed,FALSE
2014-07-03-23-44-19,L8,closed,FALSE
2018-03-31-23-50-08,L8,closed,FALSE
2013-08-24-23-52-44,L8,closed,FALSE
2018-06-28-23-43-33,L8,closed,FALSE
2017-03-28-23-50-17,L8,closed,FALSE
2014-07-19-23-44-23,L8,closed,FALSE
2016-04-19-23-44-03,L8,closed,FALSE
2018-07-05-23-49-47,L8,closed,FALSE
