,satname,Entrance_state,skip image
2017-04-14-02-15-08,S2,open,FALSE
2019-07-03-02-17-26,S2,closed,FALSE
2018-03-05-02-12-06,S2,open,FALSE
2019-02-08-02-17-21,S2,closed,FALSE
2018-05-19-02-15-58,S2,closed,FALSE
2017-07-03-02-13-16,S2,closed,FALSE
2016-11-05-02-09-53,S2,open,FALSE
2019-12-25-02-17-16,S2,closed,FALSE
2019-08-12-02-17-24,S2,open,FALSE
2018-03-30-02-14-57,S2,open,FALSE
2019-07-18-02-17-29,S2,open,FALSE
2019-12-15-02-17-15,S2,closed,FALSE
2019-12-05-02-17-15,S2,closed,FALSE
2019-06-23-02-17-25,S2,closed,FALSE
2020-07-02-02-17-23,S2,poorquality,TRUE
2020-06-02-02-17-22,S2,closed,FALSE
2020-09-15-02-17-25,S2,open,FALSE
2017-02-03-02-11-40,S2,poorquality,TRUE
2019-04-09-02-17-25,S2,closed,FALSE
2019-07-28-02-17-29,S2,closed,FALSE
2017-01-14-02-15-31,S2,open,FALSE
2018-07-08-02-15-46,S2,closed,FALSE
2017-01-24-02-14-18,S2,open,FALSE
2020-03-29-02-17-17,S2,closed,FALSE
2020-08-21-02-17-24,S2,open,FALSE
2019-12-10-02-17-17,S2,closed,FALSE
2017-11-20-02-11-28,S2,open,FALSE
2020-01-09-02-17-15,S2,closed,FALSE
2020-07-12-02-17-22,S2,closed,FALSE
2019-02-28-02-17-19,S2,closed,FALSE
2019-09-06-02-17-23,S2,open,FALSE
2019-05-09-02-17-29,S2,closed,FALSE
2018-01-04-02-07-43,S2,open,FALSE
2019-06-08-02-17-28,S2,closed,FALSE
2017-08-27-02-10-44,S2,open,FALSE
2018-08-12-02-11-45,S2,open,FALSE
2016-12-25-02-06-56,S2,open,FALSE
2019-03-15-02-17-17,S2,closed,FALSE
2017-06-13-02-13-06,S2,closed,FALSE
2018-02-03-02-16-07,S2,open,FALSE
2015-11-21-02-11-49,S2,open,FALSE
2018-10-11-02-11-47,S2,closed,FALSE
2019-06-18-02-17-28,S2,poorquality,TRUE
2018-01-14-02-16-06,S2,open,FALSE
2019-05-29-02-17-29,S2,poorquality,TRUE
2017-12-25-02-16-02,S2,open,FALSE
2019-03-25-02-17-20,S2,poorquality,TRUE
2019-06-03-02-17-23,S2,closed,FALSE
2017-11-15-02-16-01,S2,open,FALSE
2006-12-15-01-54-45,L5,poorquality,TRUE
1999-07-05-01-37-52,L5,open,FALSE
1991-06-13-01-22-51,L5,open,FALSE
1988-08-07-01-30-47,L5,open,FALSE
1994-01-28-01-21-20,L5,open,FALSE
1998-09-20-01-38-53,L5,open,FALSE
1987-07-20-01-25-19,L5,closed,FALSE
2006-06-06-01-52-31,L5,poorquality,TRUE
1997-10-19-01-33-25,L5,open,FALSE
1994-03-01-01-20-54,L5,poorquality,TRUE
2009-01-05-01-44-52,L5,open,FALSE
1997-03-09-01-26-00,L5,poorquality,TRUE
1996-07-28-01-15-09,L5,open,FALSE
1994-12-14-01-13-46,L5,open,FALSE
2003-12-23-01-38-45,L5,poorquality,TRUE
1990-09-14-01-19-56,L5,open,FALSE
2009-08-01-01-49-11,L5,open,FALSE
2007-08-12-01-53-29,L5,open,FALSE
1996-05-25-01-11-43,L5,closed,FALSE
1994-01-12-01-21-31,L5,open,FALSE
1998-01-07-01-35-23,L5,open,FALSE
2006-10-28-01-54-20,L5,poorquality,TRUE
1992-02-24-01-24-16,L5,poorquality,TRUE
1995-03-04-01-10-46,L5,poorquality,TRUE
1987-09-22-01-27-05,L5,open,FALSE
1989-07-25-01-27-16,L5,poorquality,TRUE
1991-01-20-01-20-28,L5,open,FALSE
2004-03-28-01-39-10,L5,open,FALSE
1993-11-25-01-21-58,L5,open,FALSE
2009-08-17-01-49-25,L5,open,FALSE
1995-08-27-01-02-58,L5,open,FALSE
1994-04-02-01-20-24,L5,open,FALSE
1995-01-31-01-12-03,L5,poorquality,TRUE
2011-01-11-01-50-00,L5,poorquality,TRUE
2007-03-05-01-55-02,L5,poorquality,TRUE
1993-04-15-01-22-24,L5,open,FALSE
1999-04-16-01-38-49,L5,poorquality,TRUE
1990-12-19-01-19-35,L5,open,FALSE
2004-07-18-01-42-28,L5,open,FALSE
2008-11-02-01-43-33,L5,open,FALSE
1989-09-27-01-25-49,L5,open,FALSE
2010-02-09-01-50-58,L5,open,FALSE
1994-09-25-01-16-22,L5,open,FALSE
1993-09-22-01-22-23,L5,open,FALSE
1990-07-28-01-20-08,L5,open,FALSE
1998-12-09-01-39-02,L5,open,FALSE
2009-09-18-01-49-52,L5,open,FALSE
1998-02-08-01-36-04,L5,closed,FALSE
1995-10-14-01-00-31,L5,open,FALSE
1989-01-30-01-30-06,L5,open,FALSE
1999-11-10-01-36-00,L5,open,FALSE
1994-08-24-01-17-12,L5,open,FALSE
1996-06-10-01-12-36,L5,open,FALSE
2007-05-08-01-54-41,L5,poorquality,TRUE
1993-12-27-01-21-45,L5,open,FALSE
1992-01-07-01-24-20,L5,open,FALSE
2011-04-01-01-49-54,L5,closed,FALSE
1992-03-27-01-24-08,L5,open,FALSE
1989-08-10-01-26-54,L5,open,FALSE
1997-02-21-01-25-22,L5,open,FALSE
1990-02-02-01-21-59,L5,open,FALSE
1997-03-25-01-26-37,L5,open,FALSE
2009-03-10-01-46-30,L5,open,FALSE
1995-02-16-01-11-23,L5,unclear,FALSE
1994-08-08-01-17-34,L5,open,FALSE
1988-05-19-01-30-30,L5,closed,FALSE
1993-06-02-01-22-38,L5,open,FALSE
1990-04-07-01-20-10,L5,open,FALSE
2006-02-14-01-50-35,L5,open,FALSE
1995-05-07-01-08-04,L5,closed,FALSE
1999-08-22-01-37-33,L5,open,FALSE
1987-12-11-01-28-33,L5,open,FALSE
2004-12-09-01-45-39,L5,open,FALSE
1991-07-31-01-23-33,L5,open,FALSE
1999-02-11-01-39-17,L5,open,FALSE
1995-04-05-01-09-27,L5,unclear,FALSE
1999-02-27-01-39-18,L5,open,FALSE
1997-09-17-01-32-31,L5,open,FALSE
1994-06-05-01-19-13,L5,open,FALSE
2009-05-29-01-48-04,L5,open,FALSE
1995-04-21-01-08-47,L5,closed,FALSE
2006-12-31-01-54-52,L5,open,FALSE
1991-05-12-01-22-27,L5,open,FALSE
1991-11-20-01-24-16,L5,open,FALSE
1994-04-18-01-20-06,L5,open,FALSE
1990-11-17-01-19-33,L5,open,FALSE
2003-09-02-01-37-21,L5,open,FALSE
2006-11-13-01-54-29,L5,open,FALSE
2006-05-21-01-52-16,L5,poorquality,TRUE
1989-05-06-01-28-49,L5,open,FALSE
2007-04-22-01-54-50,L5,closed,FALSE
2010-09-21-01-50-14,L5,open,FALSE
1999-07-21-01-37-49,L5,open,FALSE
1988-07-22-01-30-47,L5,open,FALSE
1997-07-31-01-31-04,L5,open,FALSE
2004-11-07-01-45-02,L5,open,FALSE
2010-10-07-01-50-07,L5,open,FALSE
2005-04-16-01-47-12,L5,poorquality,TRUE
1997-12-06-01-34-38,L5,open,FALSE
1990-02-18-01-21-29,L5,open,FALSE
1995-03-20-01-10-06,L5,poorquality,TRUE
1988-03-16-01-30-00,L5,open,FALSE
1997-12-22-01-35-00,L5,open,FALSE
2007-07-11-01-53-46,L5,closed,FALSE
1991-06-29-01-23-11,L5,open,FALSE
2007-05-24-01-54-29,L5,closed,FALSE
1997-06-29-01-30-00,L5,closed,FALSE
2020-08-31-02-00-13,L8,open,FALSE
2013-07-11-02-02-04,L8,open,FALSE
2013-08-12-02-02-05,L8,open,FALSE
2016-06-01-01-59-44,L8,closed,FALSE
2013-04-03-02-01-34,L8,poorquality,TRUE
2016-12-26-02-00-19,L8,open,FALSE
2020-05-27-01-59-32,L8,open,FALSE
2019-04-23-01-59-29,L8,closed,FALSE
2017-10-26-02-00-23,L8,open,FALSE
2018-04-20-01-59-20,L8,open,FALSE
2017-03-16-01-59-47,L8,open,FALSE
2018-07-09-01-59-12,L8,closed,FALSE
2020-03-08-01-59-59,L8,closed,FALSE
2019-01-01-01-59-57,L8,poorquality,TRUE
2017-01-11-02-00-15,L8,open,FALSE
2013-11-16-02-01-46,L8,open,FALSE
2015-05-14-01-59-05,L8,closed,FALSE
2020-02-05-02-00-08,L8,poorquality,TRUE
2016-12-10-02-00-22,L8,open,FALSE
2014-07-14-01-59-57,L8,closed,FALSE
2015-11-22-02-00-13,L8,open,FALSE
2019-05-09-01-59-35,L8,closed,FALSE
2014-02-20-02-00-53,L8,poorquality,TRUE
2015-02-23-01-59-53,L8,poorquality,TRUE
2018-02-15-01-59-53,L8,open,FALSE
2020-01-20-02-00-14,L8,poorquality,TRUE
2019-09-30-02-00-26,L8,open,FALSE
2018-05-22-01-59-00,L8,poorquality,TRUE
2014-05-11-01-59-40,L8,unclear,FALSE
2019-12-03-02-00-24,L8,poorquality,TRUE
2019-08-29-02-00-16,L8,open,FALSE
2013-07-27-02-02-04,L8,open,FALSE
2015-05-30-01-59-10,L8,closed,FALSE
2015-03-27-01-59-34,L8,closed,FALSE
2020-02-21-02-00-05,L8,closed,FALSE
2017-08-23-02-00-09,L8,open,FALSE
2015-04-28-01-59-21,L8,poorquality,TRUE
2016-10-23-02-00-25,L8,open,FALSE
2015-10-21-02-00-08,L8,open,FALSE
2018-01-14-02-00-08,L8,open,FALSE
2014-02-04-02-01-06,L8,open,FALSE
