,satname,Entrance_state,skip image,
2008-10-19-01-31-17,L5,poorquality,TRUE,
2008-02-06-01-38-04,L5,poorquality,TRUE,
2004-12-27-01-33-11,L5,poorquality,TRUE,
1996-04-09-00-56-14,L5,closed,FALSE,
2004-03-14-01-26-24,L5,closed,FALSE,
2007-02-03-01-42-17,L5,poorquality,TRUE,
1989-05-08-01-16-02,L5,closed,FALSE,
1993-04-17-01-09-40,L5,poorquality,TRUE,
1991-11-22-01-11-30,L5,poorquality,TRUE,
1991-06-15-01-10-07,L5,closed,FALSE,
1991-08-02-01-10-47,L5,closed,FALSE,
2006-08-11-01-40-41,L5,poorquality,TRUE,
1998-01-25-01-23-00,L5,poorquality,TRUE,
1993-01-27-01-09-05,L5,poorquality,TRUE,
1996-03-08-00-54-12,L5,closed,FALSE,
1995-05-09-00-55-13,L5,closed,FALSE,
1994-07-09-01-05-38,L5,closed,FALSE,
2005-03-17-01-34-17,L5,closed,FALSE,
2006-11-08-01-35-54,L5,closed,FALSE,
1997-05-14-01-15-38,L5,closed,FALSE,
2009-08-03-01-36-27,L5,closed,FALSE,
2006-12-17-01-42-01,L5,closed,FALSE,
1992-08-20-01-09-47,L5,closed,FALSE,
1990-07-14-01-07-26,L5,closed,FALSE,
2004-02-11-01-26-13,L5,poorquality,TRUE,
1991-03-27-01-08-53,L5,poorquality,TRUE,
2010-04-16-01-38-12,L5,poorquality,TRUE,
1999-08-08-01-25-00,L5,closed,FALSE,
1988-04-19-01-17-27,L5,closed,FALSE,
1995-07-12-00-52-17,L5,poorquality,TRUE,
2005-07-23-01-35-09,L5,closed,FALSE,
2007-05-10-01-41-54,L5,closed,FALSE,
2003-10-06-01-25-05,L5,poorquality,TRUE,
2009-10-22-01-37-29,L5,poorquality,TRUE,
1992-03-29-01-11-23,L5,poorquality,TRUE,
2004-01-10-01-26-05,L5,closed,FALSE,
2006-03-20-01-38-31,L5,poorquality,TRUE,
2005-09-25-01-35-26,L5,poorquality,TRUE,
1995-08-29-00-50-07,L5,poorquality,TRUE,
1990-06-12-01-07-29,L5,closed,FALSE,
2005-06-05-01-34-48,L5,closed,FALSE,
2010-10-25-01-37-11,L5,poorquality,TRUE,
1988-02-15-01-16-56,L5,poorquality,TRUE,
2010-12-28-01-37-13,L5,poorquality,TRUE,
1991-07-17-01-10-39,L5,closed,FALSE,
1988-04-03-01-17-23,L5,poorquality,TRUE,
2009-05-15-01-35-04,L5,closed,FALSE,
2005-04-18-01-34-26,L5,closed,FALSE,
1996-02-21-00-53-09,L5,closed,FALSE,
1990-11-03-01-06-44,L5,poorquality,TRUE,
2007-07-29-01-40-52,L5,closed,FALSE,
1994-10-29-01-02-30,L5,closed,FALSE,
2011-04-19-01-37-01,L5,poorquality,TRUE,
1992-08-04-01-10-04,L5,closed,FALSE,
1996-11-19-01-08-16,L5,closed,FALSE,
1994-05-06-01-07-01,L5,closed,FALSE,
2006-12-26-01-36-18,L5,closed,FALSE,
1991-07-01-01-10-28,L5,poorquality,TRUE,
1997-04-28-01-15-05,L5,closed,FALSE,
1999-07-23-01-25-03,L5,closed,FALSE,
1991-05-30-01-09-59,L5,closed,FALSE,
1994-03-03-01-08-07,L5,poorquality,TRUE,
1988-07-24-01-18-02,L5,poorquality,TRUE,
1990-08-31-01-07-10,L5,closed,FALSE,
1994-08-26-01-04-23,L5,poorquality,TRUE,
1997-02-07-01-12-01,L5,closed,FALSE,
1991-12-17-01-05-55,L5,poorquality,TRUE,
2006-08-27-01-40-53,L5,poorquality,TRUE,
2007-05-26-01-41-42,L5,closed,FALSE,
1987-11-27-01-15-36,L5,closed,FALSE,
1992-04-14-01-11-17,L5,poorquality,TRUE,
1989-08-12-01-14-06,L5,open,FALSE,
1987-09-24-01-14-22,L5,unclear,FALSE,past this one
2005-04-02-01-34-23,L5,closed,FALSE,
1993-08-07-01-09-42,L5,closed,FALSE,
1990-05-11-01-07-34,L5,poorquality,TRUE,
1997-10-21-01-20-43,L5,poorquality,TRUE,
1999-09-25-01-23-50,L5,closed,FALSE,
1997-07-01-01-17-18,L5,closed,FALSE,
1989-09-29-01-13-02,L5,poorquality,TRUE,
1989-04-22-01-16-12,L5,closed,FALSE,
2005-05-04-01-34-32,L5,poorquality,TRUE,
1991-12-08-01-11-48,L5,poorquality,TRUE,
2007-10-01-01-40-16,L5,poorquality,TRUE,
1998-08-05-01-25-41,L5,closed,FALSE,
1999-01-12-01-26-19,L5,open,FALSE,
2003-11-07-01-25-22,L5,poorquality,TRUE,
1995-02-18-00-58-33,L5,poorquality,TRUE,
1988-06-22-01-17-56,L5,closed,FALSE,
1988-12-31-01-17-38,L5,closed,FALSE,
1998-12-27-01-26-24,L5,poorquality,TRUE,
2009-11-23-01-37-44,L5,poorquality,TRUE,
1994-11-30-01-01-26,L5,poorquality,TRUE,
1992-04-30-01-11-09,L5,closed,FALSE,
2005-11-12-01-35-38,L5,poorquality,TRUE,
2005-05-20-01-34-39,L5,poorquality,TRUE,
2005-08-17-01-29-34,L5,poorquality,TRUE,
2007-01-18-01-42-14,L5,open,FALSE,
2004-10-08-01-31-39,L5,poorquality,TRUE,
1989-09-13-01-13-15,L5,closed,FALSE,
1991-09-03-01-11-05,L5,closed,FALSE,
1995-11-01-00-46-51,L5,poorquality,TRUE,
1993-06-04-01-09-52,L5,closed,FALSE,
1998-03-30-01-24-06,L5,poorquality,TRUE,
